Year,tech_do
2016,"Android; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; Perl; PHP; Redis; Ruby; SQL; SQL Server; Visual Basic; WordPress"
2016,Android; CoffeeScript; Java; JavaScript; Ruby
2016,Android; AngularJS; Java; JavaScript; Python; Scala; SQL
2016,Android; AngularJS; C#; Java; JavaScript; MongoDB; Node.js; PHP; ReactJS
2016,Android; C#; Java; JavaScript; SQL; SQL Server
2016,Android; AngularJS; C; C#; Java; JavaScript; MongoDB; Node.js; PHP; SQL
2016,C; C#; JavaScript; Perl; SQL; Visual Basic
2016,AngularJS; JavaScript; LAMP; PHP; SQL
2016,C; Haskell; Python
2016,JavaScript; LAMP; PHP; SQL; WordPress
2016,CoffeeScript; JavaScript; Perl; Python; Ruby
2016,
2016,C#; JavaScript; Python; SQL; SQL Server
2016,C#
2016,
2016,Android; C#; iOS; Java; JavaScript; Objective-C; SQL; Swift; WordPress
2016,JavaScript
2016,Android; AngularJS; CoffeeScript; Cordova; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Scala; SQL; WordPress
2016,Android; AngularJS; Cordova; Java; JavaScript; Node.js; PHP; SQL; SQL Server; WordPress
2016,C#; JavaScript; SQL; SQL Server; Windows Phone
2016,"Android; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; iOS; Java; JavaScript; MongoDB; PHP; R; Ruby; Salesforce; Scala; SQL; SQL Server; Swift; WordPress"
2016,
2016,CoffeeScript; JavaScript; Ruby
2016,Java
2016,Android; AngularJS; C#; Cordova; JavaScript; Node.js; PHP; SQL; SQL Server; Windows Phone; WordPress
2016,
2016,Java; R
2016,iOS; Java; Objective-C
2016,C#; JavaScript; PHP; SQL; Windows Phone; WordPress
2016,"Android; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; SQL; SQL Server; WordPress"
2016,
2016,
2016,C#; Java; JavaScript; LAMP; Node.js; PHP; SQL; Visual Basic; WordPress
2016,JavaScript; LAMP; PHP; SQL; SQL Server
2016,C; C#; Haskell; Matlab; PHP; SQL; SQL Server; Visual Basic
2016,Java; JavaScript; Node.js; Ruby; Scala; Swift
2016,PHP
2016,Java; SQL
2016,C++; Java; Python
2016,
2016,"Cloud (AWS, GAE, Azure, etc.); Java; Perl; Ruby; SharePoint; SQL Server"
2016,AngularJS; C; Java; JavaScript; Ruby; SQL
2016,
2016,AngularJS; C#; Go; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; Redis; SQL
2016,Arduino / Raspberry Pi; AngularJS; Hadoop; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Redis; SQL; Visual Basic; WordPress
2016,C; C#; iOS; JavaScript; Node.js; Objective-C; Swift
2016,C; Java; JavaScript; PHP; Python; SQL
2016,Android; C; C++; Java; Visual Basic
2016,Go; Java; JavaScript; Node.js; PHP; Ruby; SQL
2016,Android; Arduino / Raspberry Pi; C; C++; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; SQL
2016,C#; Java; JavaScript; SQL
2016,Android; C; C#; Java; Matlab
2016,AngularJS; Java; JavaScript
2016,Android; C; C++; Java; Python; SQL; SQL Server
2016,C#; Java; R
2016,"Android; AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; MongoDB; Node.js; Objective-C; ReactJS; Swift; WordPress"
