Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,Java; Lua; Python,,,Linux Desktop
2017,Assembly; C; C++; JavaScript,AngularJS; Node.js,MongoDB; MySQL; PostgreSQL,Android; iOS; Linux Desktop; Raspberry Pi
2017,Assembly; C; C++; C#; SQL; Swift,.NET Core,MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop; Arduino
2017,,,,
2017,C#; JavaScript; SQL; VBA,React; Firebase; .NET Core,SQL Server,Windows Desktop; Microsoft Azure
2017,,,,
2017,,,,
2017,,,,
2017,Java; JavaScript; Perl; SQL,AngularJS; Node.js,MongoDB; PostgreSQL,Mac OS
2017,C; C++; C#; CoffeeScript; Haskell; JavaScript; Python; Ruby; Rust; SQL; TypeScript,AngularJS; Node.js; React; .NET Core,MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop
2017,Assembly; C; C++; C#; Go; Java; JavaScript; Lua; Python; Rust,Node.js; Xamarin,SQLite,Android; iOS; Linux Desktop; Serverless; Amazon Web Services (AWS)
2017,C#; JavaScript,React; .NET Core,Redis; SQL Server; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,,,,
2017,,,,
2017,,,,
2017,C++; C#; Java; JavaScript; Lua; PHP; Python; SQL; VB.NET,AngularJS; Cordova; Firebase,MySQL,
2017,C++; Objective-C,,,iOS
2017,Java; JavaScript,AngularJS,Cassandra; PostgreSQL; Oracle,
2017,JavaScript; SQL; TypeScript,AngularJS; Node.js,MySQL,
2017,C++; Python,,,Windows Desktop; Linux Desktop
2017,C++; C#,.NET Core,,Windows Desktop; Amazon Web Services (AWS)
2017,,,,
2017,C#; SQL,.NET Core,SQL Server,Windows Desktop
2017,Go; Groovy; Java; JavaScript; Python; Ruby; Scala; SQL,AngularJS,MongoDB; Redis; SQL Server; PostgreSQL; Oracle,
2017,Java; PHP,,MySQL; Oracle,
2017,C#; JavaScript; SQL,Node.js; React,Redis; SQL Server,Amazon Web Services (AWS)
2017,JavaScript,AngularJS; Node.js,,Amazon Web Services (AWS)
2017,Assembly; Java; JavaScript; PHP; SQL,AngularJS; Node.js; React; Cordova; Firebase,MySQL,Android; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; Serverless; WordPress; Amazon Web Services (AWS)
2017,Java; JavaScript; PHP; Python,Node.js; React; Cordova,MongoDB; MySQL; Oracle,Android; Linux Desktop; WordPress; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; SQL,AngularJS; Node.js,SQL Server,Amazon Web Services (AWS)
2017,C#; JavaScript; PHP; SQL,.NET Core,SQL Server; MySQL,
2017,SQL,,,
2017,C; C++; JavaScript; Python,,MySQL,Linux Desktop; Amazon Web Services (AWS)
2017,Assembly; C; Erlang; Go; Java; Python,,PostgreSQL,Linux Desktop
2017,Java; JavaScript; PHP; Python; SQL,AngularJS,Redis; SQL Server; MySQL,
2017,Objective-C; Python; Ruby; SQL; Swift,,PostgreSQL,iOS; Mac OS
2017,C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,Node.js; React; Xamarin; Firebase,MySQL,Android; Linux Desktop
2017,,,,
2017,Assembly; C; C++; C#; Java; Matlab; Python,.NET Core,SQL Server; SQLite,Android; Windows Desktop
2017,C++; C#; Objective-C,,SQL Server,Windows Desktop; Mac OS
2017,C#; Java; JavaScript; VB.NET,,SQL Server,Windows Desktop; Arduino
2017,Python; R; Ruby; SQL,,,Linux Desktop; Amazon Web Services (AWS)
2017,C; Java; JavaScript; Lua; PHP; SQL; VBA; Visual Basic 6,,,
2017,JavaScript; PHP,Node.js,MySQL,Windows Desktop; WordPress
2017,C#; JavaScript; Ruby; SQL,.NET Core,SQL Server; MySQL,
2017,,,,
2017,,,,
2017,JavaScript; PHP; Python,Node.js,,
2017,Scala,,,
2017,JavaScript; Python,React,,
2017,C#; JavaScript; SQL,AngularJS,SQL Server; SQLite,iOS; Microsoft Azure
2017,Assembly; C++; Matlab; Python,,,Android; Linux Desktop; Raspberry Pi
2017,Ruby,,MongoDB,Amazon Web Services (AWS)
2017,JavaScript; Python,,MongoDB; PostgreSQL,Mac OS
2017,C#; JavaScript; PHP; SQL; TypeScript; VB.NET,AngularJS; Node.js; Xamarin; .NET Core,SQL Server,Windows Desktop; Amazon Web Services (AWS); Microsoft Azure
2017,,,,
2017,PHP,,,Amazon Web Services (AWS)
2017,Python,,,
2017,JavaScript; PHP; SQL,,MySQL; Oracle,
2017,CoffeeScript; JavaScript; Ruby,React,,
2017,Erlang; F#; Java,,Redis,Amazon Web Services (AWS)
2017,C#; SQL,.NET Core,MongoDB; SQL Server,
2017,C#; Java; JavaScript; Objective-C; SQL,Node.js; Xamarin,MongoDB; MySQL; SQLite,iOS; Arduino
2017,,,,
2017,C; C++; C#; Python,,,Windows Desktop; Raspberry Pi
2017,,,,
2017,Java; Matlab; Python; SQL,,PostgreSQL,
2017,Java; JavaScript; SQL,,MySQL; PostgreSQL,
2017,C#; Go; JavaScript; Lua; SQL; TypeScript,AngularJS; Node.js; React,Redis; SQL Server; PostgreSQL; SQLite,Linux Desktop; Mac OS; Arduino; Raspberry Pi
2017,,,,
2017,Groovy; Java; JavaScript; SQL,,SQL Server; Oracle,
2017,C#; Objective-C; Swift,,SQLite,iOS; Mac OS
2017,C++; JavaScript; Python; Ruby; Scala; SQL,,,Linux Desktop; Amazon Web Services (AWS)
2017,C++; C#,Xamarin; .NET Core,SQL Server,Android; Windows Phone; Windows Desktop
2017,C++; Objective-C; PHP; Swift,,MySQL; SQLite,iOS; Mac OS
2017,Java; JavaScript; SQL,AngularJS; Node.js,MongoDB; SQL Server; PostgreSQL,Android; WordPress; Amazon Web Services (AWS)
2017,,,,
2017,,,SQL Server,Salesforce
2017,JavaScript; PHP; SQL,,MySQL,WordPress
2017,Go; Python; Ruby,,MongoDB; Redis; PostgreSQL,
2017,C++; Java; Python,Firebase,SQLite,Android
2017,,,,
2017,Java; JavaScript; SQL,Node.js,MySQL; SQLite,Android
2017,,,,
2017,C; C#; Groovy; Java; JavaScript; Ruby; Scala; SQL; TypeScript; VBA,Hadoop; .NET Core,Redis; SQL Server; Oracle,Android; iOS; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,Java; Python; R; SQL,AngularJS; Node.js,MongoDB; Redis; MySQL,Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,CoffeeScript; Elixir; JavaScript; PHP; Python; Ruby; SQL; TypeScript,Node.js; React,Redis; MySQL; PostgreSQL; SQLite,Linux Desktop; Mac OS; Arduino; Salesforce; Amazon Web Services (AWS)
2017,Java,,MongoDB,Linux Desktop
2017,CoffeeScript; Java; JavaScript; Swift,Node.js,,iOS
2017,C#; Java; JavaScript; SQL; TypeScript,,SQL Server,
2017,,,,
2017,Swift,,,iOS
2017,,,,
2017,C#; JavaScript; SQL,AngularJS,SQL Server,Microsoft Azure
2017,C#; Java; JavaScript; Python; SQL; VBA,AngularJS,SQL Server,Windows Desktop
2017,C++; Java; JavaScript; Python; TypeScript,Node.js; React,,
2017,Groovy; Java; Python; Scala; SQL,Hadoop; Spark,MySQL,
2017,,,,
2017,,,,
2017,JavaScript,,,Windows Desktop; Linux Desktop
2017,,,,
2017,C#; JavaScript,Node.js; React; .NET Core,SQL Server,Amazon Web Services (AWS)
2017,,,,
2017,C#; JavaScript; Python; SQL,AngularJS; .NET Core,SQL Server,
2017,Java; JavaScript; Python,,MySQL,
2017,,,,
2017,C++; C#; Rust; SQL,AngularJS; Node.js; Xamarin; .NET Core,MongoDB; SQL Server; MySQL; SQLite,iOS; Windows Desktop; Linux Desktop
2017,C; C++; Java; JavaScript; Objective-C; PHP; Scala; SQL; Swift,,Cassandra; MySQL,iOS; Mac OS; Amazon Web Services (AWS)
2017,C; C++; C#; Go; JavaScript; TypeScript,.NET Core,SQLite,Windows Phone; Windows Desktop
2017,C; Python,,,Linux Desktop
2017,C#; F#,,,Microsoft Azure
2017,,,,
2017,,,,
2017,,,,
2017,C#; JavaScript; SQL,AngularJS; Node.js; React,SQL Server,
2017,Java; SQL,,,Windows Desktop
2017,C; Common Lisp; JavaScript; PHP; Python; SQL,,MySQL; PostgreSQL; SQLite,Linux Desktop
2017,C#; JavaScript; SQL,.NET Core,SQL Server,Raspberry Pi; Amazon Web Services (AWS)
2017,C#; JavaScript; Python,Node.js,MongoDB; SQL Server,WordPress; Amazon Web Services (AWS); Microsoft Azure
2017,,,,
2017,JavaScript,,,Mac OS
2017,,,,
2017,CoffeeScript; Haskell; Java; JavaScript; Ruby; Scala; SQL,AngularJS; Node.js; React,MySQL; PostgreSQL; Oracle; SQLite,Mac OS; Amazon Web Services (AWS)
2017,,,,
2017,C#; JavaScript; PHP; Python; SQL; VB.NET,.NET Core,SQL Server; MySQL; PostgreSQL; Oracle,Windows Phone; Windows Desktop
2017,,,,
2017,,,,
2017,,,,
2017,,,,
2017,JavaScript; PHP; SQL,,MySQL; SQLite,WordPress
2017,C#; Java; Python; SQL,AngularJS; Hadoop; Node.js; .NET Core,SQL Server; MySQL; Oracle,
2017,Java,,MySQL; Oracle,
2017,C; C++; Java; JavaScript; TypeScript,Node.js; React,MongoDB,Android
2017,,,,
2017,C#; JavaScript; PHP; SQL,AngularJS; Node.js; React; Firebase,MongoDB; SQL Server; MySQL,WordPress
2017,C#; JavaScript; Perl; Swift,AngularJS; Node.js; React,SQL Server; Oracle,iOS
2017,,,,
2017,,,,
2017,Java; JavaScript; PHP; SQL; VBA; Visual Basic 6,,Oracle,
2017,C#; JavaScript; TypeScript,Xamarin; Firebase,SQL Server,Android; iOS; Amazon Web Services (AWS); Microsoft Azure
