Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,Java; JavaScript; SQL,Node.js,SQL Server; MySQL; PostgreSQL,Amazon Web Services (AWS); Microsoft Azure
2017,Java; JavaScript; SQL,AngularJS,MySQL; PostgreSQL,Windows Desktop; Mac OS; Amazon Web Services (AWS)
2017,Java; JavaScript; SQL,AngularJS,SQL Server; MySQL,Linux Desktop
2017,C#; JavaScript,.NET Core,SQL Server,SharePoint; Microsoft Azure
2017,Go; JavaScript; Ruby,React,MongoDB; Redis; PostgreSQL,Amazon Web Services (AWS)
2017,C; C++; C#; Java; Lua; Python; SQL,.NET Core,SQL Server; MySQL,Windows Desktop
2017,Java; JavaScript; Matlab; PHP; SQL; VB.NET; VBA; Visual Basic 6,Node.js; Xamarin; .NET Core,SQL Server; MySQL; SQLite,Windows Phone; Windows Desktop; Linux Desktop; Raspberry Pi; SharePoint
2017,C#; JavaScript; SQL; TypeScript; VB.NET; VBA,.NET Core,SQL Server; MySQL,Windows Desktop
2017,JavaScript,Node.js,MongoDB,Amazon Web Services (AWS)
2017,C#; JavaScript; SQL,AngularJS; Node.js; React; Xamarin; .NET Core,MongoDB; Redis; SQL Server,Android; Raspberry Pi; Serverless; Microsoft Azure
2017,C#; SQL; TypeScript,.NET Core,Redis; SQL Server,Microsoft Azure
2017,C#; Java; Matlab; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,.NET Core,SQL Server; MySQL,Windows Desktop; Microsoft Azure
2017,C#; JavaScript; SQL,Xamarin,SQL Server; Oracle,Android; Windows Desktop; Salesforce; Microsoft Azure
2017,JavaScript; Python,AngularJS,SQLite,Windows Desktop
2017,CoffeeScript; Elixir; JavaScript; PHP; SQL,AngularJS,MySQL,WordPress
2017,C++; C#; Java; JavaScript; Python; SQL,AngularJS; Node.js; .NET Core,SQL Server; PostgreSQL; Oracle; SQLite,Amazon Web Services (AWS)
2017,C#; Java; JavaScript; Objective-C; Swift,Node.js,MySQL,Android; iOS
2017,JavaScript,Node.js,MySQL,Mac OS; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; SQL,AngularJS; .NET Core,SQL Server,Amazon Web Services (AWS)
2017,C; C++; C#; Java; JavaScript; Matlab; Objective-C; PHP; Python; SQL; Swift,AngularJS; Node.js,MongoDB; SQL Server; MySQL; SQLite,Android; iOS; Mac OS; WordPress; Amazon Web Services (AWS)
2017,C#; JavaScript; PHP; SQL,.NET Core,SQL Server; MySQL,WordPress; Amazon Web Services (AWS)
2017,C#; JavaScript; SQL,.NET Core,Redis; SQL Server,Microsoft Azure
2017,C#; JavaScript; PHP; SQL; Swift; TypeScript,Node.js; Xamarin; .NET Core,SQL Server; MySQL; PostgreSQL,Android; iOS; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure
